hour,day_of_week,weekend,rolling_mean,rolling_std,rolling_min,rolling_max,skewness,kurtosis,latency_slope,latency_pct_change,fft_dominant_freq,anomaly
0,3,0,0.8939999999999999,0.3549366140594962,0.44,1.4,0.29729677687098505,0.5912560920048513,0.08000000000000036,-0.28,0.0,1
0,3,0,1.0819999999999999,0.2988645178003225,0.72,1.4,0.0865231859749976,-2.3273869132825027,0.18800000000000033,0.9166666666666665,0.0,-1
0,3,0,1.084,0.30154601638890755,0.72,1.41,0.09863754557234942,-2.331826963978943,0.002000000000000357,0.021739130434782705,0.0,1
0,3,0,1.284,0.4515860936743057,0.72,1.91,0.20761423304438606,-0.1372232162618611,0.20000000000000034,0.35460992907801425,0.0,1
0,3,0,1.268,0.4653708198845506,0.72,1.91,0.2570095537242825,-0.6632004672917281,-0.015999999999999636,-0.5183246073298429,0.0,1
0,3,0,1.4120000000000001,0.3506707857806499,0.92,1.91,0.04251195618508773,1.928055018931314,0.14400000000000035,0.5652173913043477,0.0,1
0,3,0,1.248,0.5201634358545579,0.56,1.91,-0.17615525533305224,-0.6624543802332413,-0.16399999999999962,-0.611111111111111,0.0,1
0,3,0,1.1460000000000001,0.530358369406969,0.56,1.91,0.6806572131987623,-0.5370752866589529,-0.10199999999999962,0.607142857142857,0.0,1
0,3,0,0.9600000000000002,0.3146426544510763,0.56,1.44,0.6195901674246609,2.037220689159122,-0.1859999999999996,0.0888888888888888,0.0,1
0,3,0,0.8100000000000002,0.47592016137165244,0.17,1.44,-0.08534646110963115,0.04323494515294849,-0.14999999999999963,-0.8265306122448979,0.0,1
0,3,0,3.21,5.727695871814426,0.17,13.44,2.2184872554578194,4.93842701899963,2.4000000000000004,78.05882352941175,0.0,1
0,3,0,3.5200000000000005,5.588671577396547,0.17,13.44,2.1517445504603163,4.688747157113281,0.3100000000000005,-0.8430059523809523,0.0,1
0,3,0,3.4400000000000004,5.6381956333564744,0.17,13.44,2.1442695158529057,4.652436622559063,-0.07999999999999963,-0.7630331753554502,0.0,1
0,3,0,3.434,5.6414829610661785,0.17,13.44,2.1445616123936113,4.6525532461642145,-0.005999999999999628,0.8999999999999999,0.0,1
0,3,0,4.343999999999999,5.342399273734603,0.5,13.44,1.7641404708755095,3.081192307374529,0.9100000000000004,3.9684210526315793,0.0,1
0,3,0,1.8940000000000001,1.6854465283716418,0.5,4.72,1.625650287513499,2.625907237638927,-2.4499999999999997,-0.7478813559322034,0.0,1
0,3,0,1.5280000000000002,1.8201291162991762,0.28,4.72,2.0219542747869528,4.2413633776618935,-0.3659999999999997,-0.7647058823529411,0.0,1
0,3,0,2.572,2.4656581271538878,0.28,5.72,0.615963683373685,-2.6678625447466477,1.044,19.428571428571427,0.0,-1
0,3,0,2.5580000000000003,2.4773413168152705,0.28,5.72,0.6197427530734467,-2.684374855824253,-0.013999999999999879,-0.8461538461538461,0.0,1
0,3,0,1.916,2.1744033664433147,0.28,5.72,1.9901962567839402,4.190821764071312,-0.6419999999999998,0.7159090909090908,0.0,1
0,3,0,1.732,2.2871969744646,0.27,5.72,1.9713879056192105,3.9894665037878005,-0.1839999999999998,-0.8211920529801324,0.0,-1
0,3,0,1.8360000000000003,2.215362272857426,0.27,5.72,2.0207951738588092,4.225763512815725,0.10400000000000018,1.9629629629629628,0.0,1
0,3,0,0.7660000000000003,0.49257486740598355,0.27,1.51,0.7991728791155991,0.31688489058611324,-1.0699999999999996,-0.5375000000000001,0.0,1
0,3,0,0.8440000000000005,0.5433967243184505,0.27,1.51,0.19999540709200636,-2.427232048179416,0.07800000000000033,2.4324324324324325,0.0,-1
0,3,0,0.9680000000000003,0.7606707566352358,0.27,2.13,0.9825202771638577,0.2045800956797,0.1240000000000003,0.6771653543307086,0.0,1
0,3,0,1.2920000000000003,0.7335666295572758,0.37,2.13,-0.10613966236457839,-1.9468431668134987,0.32400000000000034,-0.11267605633802813,0.0,1
0,3,0,2.618,2.774620694797763,0.37,7.43,1.89430379037004,3.9236952264985043,1.3260000000000003,2.931216931216931,0.0,-1
0,3,0,7.928,10.901230205807051,1.27,26.92,1.9748448186515424,3.907325094124824,5.3100000000000005,2.6231493943472413,0.0,-1
0,3,0,7.76,11.035139328526851,0.43,26.92,1.9407575201014613,3.7881757720442786,-0.16799999999999926,-0.9840267459138188,0.0,1
0,3,0,7.446000000000001,11.255524421367493,0.43,26.92,1.911585885745972,3.6393241483829684,-0.31399999999999945,0.30232558139534893,0.0,1
0,3,0,7.178,11.435404234219272,0.43,26.92,1.8964095225367479,3.5365776560754747,-0.26799999999999946,-0.017857142857142905,0.0,1
