timestamp,location,source,local_dest,local_avg,remote_dest,remote_avg,hour,day_of_week,weekend,local_avg_mean_5,local_avg_std_5,local_avg_slope,local_avg_acceleration,fft
1970-01-01 00:00:01.559041487,lower-level,wireless,192.168.0.1,1.95,142.254.217.53,9.62,0,3,0,1.0379999999999998,0.6545380050081274,0.95,0.49,119775.08755577015
1970-01-01 00:00:01.559041497,lower-level,wireless,192.168.0.1,2.53,142.254.217.53,8.45,0,3,0,1.48,0.7822084121255783,0.5799999999999998,-0.3700000000000001,161165.74509458453
1970-01-01 00:00:01.559041507,lower-level,wireless,192.168.0.1,0.53,142.254.217.53,7.83,0,3,0,1.31,0.89378409025895,-1.9999999999999998,-2.5799999999999996,87940.7740173404
1970-01-01 00:00:01.559041517,lower-level,wireless,192.168.0.1,0.57,142.254.217.53,11.79,0,3,0,1.3159999999999998,0.8874006986700084,0.039999999999999925,2.0399999999999996,163711.58173825924
1970-01-01 00:00:01.559041527,lower-level,wireless,192.168.0.1,0.5,142.254.217.53,9.77,0,3,0,1.216,0.9573296193057118,-0.06999999999999995,-0.10999999999999988,188375.3910271569
1970-01-01 00:00:01.559041537,lower-level,wireless,192.168.0.1,0.27,142.254.217.53,10.57,0,3,0,0.8800000000000001,0.9297311439335674,-0.22999999999999998,-0.16000000000000003,126773.91222417867
1970-01-01 00:00:01.559041548,lower-level,wireless,192.168.0.1,1.18,142.254.217.53,9.29,0,3,0,0.61,0.3393375900191729,0.9099999999999999,1.14,105166.88287635503
1970-01-01 00:00:01.559041558,lower-level,wireless,192.168.0.1,0.96,142.254.217.53,7.9,0,3,0,0.696,0.3673281911316093,-0.21999999999999997,-1.13,137064.88717438097
1970-01-01 00:00:01.559041568,lower-level,wireless,192.168.0.1,0.49,142.254.217.53,8.41,0,3,0,0.6799999999999999,0.3758324094593495,-0.47,-0.25,94766.5888796454
1970-01-01 00:00:01.559041578,lower-level,wireless,192.168.0.1,0.4,142.254.217.53,9.84,0,3,0,0.6599999999999999,0.39019226030255927,-0.08999999999999997,0.38,148813.74132880414
1970-01-01 00:00:01.559041588,lower-level,wireless,192.168.0.1,1.92,142.254.217.53,9.32,0,3,0,0.9899999999999999,0.6123724356958105,1.52,1.6099999999999999,137891.02151630854
1970-01-01 00:00:01.559041598,lower-level,wireless,192.168.0.1,0.48,142.254.217.53,8.71,0,3,0,0.85,0.6375735251718188,-1.44,-2.96,107625.49250459319
1970-01-01 00:00:01.559041608,lower-level,wireless,192.168.0.1,0.61,142.254.217.53,8.94,0,3,0,0.78,0.6416774890862387,0.13,1.5699999999999998,74963.6432611419
1970-01-01 00:00:01.559041618,lower-level,wireless,192.168.0.1,0.74,142.254.217.53,8.9,0,3,0,0.8300000000000001,0.6228964600959135,0.13,0.0,100068.3575493385
1970-01-01 00:00:01.559041629,lower-level,wireless,192.168.0.1,0.8,142.254.217.53,9.13,0,3,0,0.9099999999999999,0.5779273310720127,0.06000000000000005,-0.06999999999999995,63683.688427426976
1970-01-01 00:00:01.559041639,lower-level,wireless,192.168.0.1,0.6,142.254.217.53,8.2,0,3,0,0.646,0.12601587201626718,-0.20000000000000007,-0.2600000000000001,112269.64175543176
1970-01-01 00:00:01.559041649,lower-level,wireless,192.168.0.1,1.98,142.254.217.53,8.46,0,3,0,0.9460000000000001,0.5842773314103669,1.38,1.58,117347.94286499772
1970-01-01 00:00:01.559041659,lower-level,wireless,192.168.0.1,1.12,142.254.217.53,11.24,0,3,0,1.048,0.5547251571724682,-0.8599999999999999,-2.2399999999999998,169160.37315156753
1970-01-01 00:00:01.559041669,lower-level,wireless,192.168.0.1,0.46,142.254.217.53,9.64,0,3,0,0.9920000000000002,0.6054089526923265,-0.6600000000000001,0.19999999999999973,50747.571384712035
1970-01-01 00:00:01.559041679,lower-level,wireless,192.168.0.1,0.66,142.254.217.53,9.88,0,3,0,0.9640000000000001,0.6195805032439446,0.2,0.8600000000000001,166033.57952513266
1970-01-01 00:00:01.559041689,lower-level,wireless,192.168.0.1,0.48,142.254.217.53,8.02,0,3,0,0.9400000000000001,0.639218272579891,-0.18000000000000005,-0.38000000000000006,163417.9893054947
1970-01-01 00:00:01.559041699,lower-level,wireless,192.168.0.1,1.48,142.254.217.53,8.64,0,3,0,0.8400000000000001,0.44564559910316615,1.0,1.1800000000000002,181518.12501603656
1970-01-01 00:00:01.559041709,lower-level,wireless,192.168.0.1,0.8,142.254.217.53,8.65,0,3,0,0.776,0.41746856169060204,-0.6799999999999999,-1.68,190304.4612004335
1970-01-01 00:00:01.559041720,lower-level,wireless,192.168.0.1,1.2,142.254.217.53,13.06,0,3,0,0.924,0.40850948581400126,0.3999999999999999,1.0799999999999998,179860.80151674338
1970-01-01 00:00:01.559041730,lower-level,wireless,192.168.0.1,0.73,142.254.217.53,9.65,0,3,0,0.938,0.39827126434130256,-0.47,-0.8699999999999999,156395.55463113703
1970-01-01 00:00:01.559041740,lower-level,wireless,192.168.0.1,0.54,142.254.217.53,9.68,0,3,0,0.95,0.381575680566804,-0.18999999999999995,0.28,205380.377118387
1970-01-01 00:00:01.559041750,lower-level,wireless,192.168.0.1,0.51,142.254.217.53,8.31,0,3,0,0.756,0.27700180504830657,-0.030000000000000027,0.15999999999999992,219894.86282501713
1970-01-01 00:00:01.559041760,lower-level,wireless,192.168.0.1,1.65,142.254.217.53,11.12,0,3,0,0.9259999999999999,0.48982649989564636,1.14,1.17,159284.71957429504
1970-01-01 00:00:01.559041770,lower-level,wireless,192.168.0.1,0.32,142.254.217.53,7.76,0,3,0,0.75,0.5236888389110657,-1.3299999999999998,-2.4699999999999998,225802.14415255905
1970-01-01 00:00:01.559041780,lower-level,wireless,192.168.0.1,0.44,142.254.217.53,9.35,0,3,0,0.692,0.5421900035965438,0.12,1.4499999999999997,101449.65624352089
1970-01-01 00:00:01.559041790,lower-level,wireless,192.168.0.1,1.4,142.254.217.53,8.6,0,3,0,0.8640000000000001,0.6136204038328743,0.96,0.84,130977.96779882217
1970-01-01 00:00:01.559041801,lower-level,wireless,192.168.0.1,0.91,142.254.217.53,8.89,0,3,0,0.944,0.5811454206995179,-0.4899999999999999,-1.4499999999999997,175333.3516141686
1970-01-01 00:00:01.559041811,lower-level,wireless,192.168.0.1,1.0,142.254.217.53,9.39,0,3,0,0.8140000000000001,0.43906719303543956,0.08999999999999997,0.5799999999999998,121256.16086305417
1970-01-01 00:00:01.559041821,lower-level,wireless,192.168.0.1,0.72,142.254.217.53,8.08,0,3,0,0.8939999999999999,0.3549366140594962,-0.28,-0.37,37989.2687663114
1970-01-01 00:00:01.559041831,lower-level,wireless,192.168.0.1,1.38,142.254.217.53,15.81,0,3,0,1.0819999999999999,0.2988645178003225,0.6599999999999999,0.94,127537.54550120124
1970-01-01 00:00:01.559041841,lower-level,wireless,192.168.0.1,1.41,142.254.217.53,8.75,0,3,0,1.084,0.30154601638890755,0.030000000000000027,-0.6299999999999999,63852.22963000022
1970-01-01 00:00:01.559041851,lower-level,wireless,192.168.0.1,1.91,142.254.217.53,9.07,0,3,0,1.284,0.4515860936743057,0.5,0.47,24630.272554657564
1970-01-01 00:00:01.559041861,lower-level,wireless,192.168.0.1,0.92,142.254.217.53,9.42,0,3,0,1.268,0.4653708198845506,-0.9899999999999999,-1.4899999999999998,81840.20224960434
1970-01-01 00:00:01.559041871,lower-level,wireless,192.168.0.1,1.44,142.254.217.53,8.74,0,3,0,1.4120000000000001,0.3506707857806499,0.5199999999999999,1.5099999999999998,110151.0169723435
1970-01-01 00:00:01.559041882,lower-level,wireless,192.168.0.1,0.56,142.254.217.53,7.99,0,3,0,1.248,0.5201634358545579,-0.8799999999999999,-1.4,52291.986282092315
1970-01-01 00:00:01.559041892,lower-level,wireless,192.168.0.1,0.9,142.254.217.53,5.36,0,3,0,1.1460000000000001,0.530358369406969,0.33999999999999997,1.2199999999999998,54878.9801194458
1970-01-01 00:00:01.559041902,lower-level,wireless,192.168.0.1,0.98,142.254.217.53,9.42,0,3,0,0.9600000000000002,0.3146426544510763,0.07999999999999996,-0.26,89589.79070090395
1970-01-01 00:00:01.559041912,lower-level,wireless,192.168.0.1,0.17,142.254.217.53,9.8,0,3,0,0.8100000000000002,0.47592016137165244,-0.8099999999999999,-0.8899999999999999,71505.96976775996
1970-01-01 00:00:01.559041922,lower-level,wireless,192.168.0.1,13.44,142.254.217.53,9.2,0,3,0,3.21,5.727695871814426,13.27,14.08,78427.46956605796
1970-01-01 00:00:01.559041932,lower-level,wireless,192.168.0.1,2.11,142.254.217.53,8.78,0,3,0,3.5200000000000005,5.588671577396547,-11.33,-24.6,87769.49002363234
1970-01-01 00:00:01.559041942,lower-level,wireless,192.168.0.1,0.5,142.254.217.53,8.63,0,3,0,3.4400000000000004,5.6381956333564744,-1.6099999999999999,9.72,59516.23759162502
