timestamp,location,source,local_dest,local_avg,remote_dest,remote_avg
1559043640.9966114,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.3
1559043651.10392,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.68
1559043661.205432,lower-level,ethernet,192.168.0.1,0.14,142.254.217.53,8.76
1559043671.3082237,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.86
1559043681.4106016,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.24
1559043691.5149765,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.95
1559043701.6185966,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.88
1559043711.7278574,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.32
1559043721.8654149,lower-level,ethernet,192.168.0.1,13.64,142.254.217.53,8.51
1559043731.968982,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.78
1559043742.0702202,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.92
1559043752.1715553,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.78
1559043762.2757244,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.2
1559043772.3760586,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.16
1559043782.4838226,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.66
1559043792.5872266,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.37
1559043802.690809,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.43
1559043812.7944262,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,8.53
1559043822.8952096,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.01
1559043832.9968028,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.49
1559043843.0985892,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.2
1559043853.2026494,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.35
1559043863.3084216,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.25
1559043873.41341,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.01
1559043883.5154624,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.28
1559043893.6236696,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.32
1559043903.726424,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.24
1559043913.8248565,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.26
1559043923.929445,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.08
1559043934.0306785,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.93
1559043944.131581,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.88
1559043954.2423134,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,11.2
1559043964.3473947,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.51
1559043974.4499192,lower-level,ethernet,192.168.0.1,0.2,142.254.217.53,7.95
1559043984.552207,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.25
1559043994.6525495,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,7.99
1559044004.7555933,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,7.92
1559044014.85649,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.96
1559044024.9584386,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.05
1559044035.060789,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.1
1559044045.160652,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.17
1559044055.2615137,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.01
1559044065.3627396,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,8.15
1559044075.4613082,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.14
1559044085.56145,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.76
1559044095.6649988,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.2
1559044105.7667766,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,7.93
1559044115.8675814,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.05
1559044125.9698503,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.08
1559044136.0741348,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.73
1559044146.1765068,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.29
1559044156.2774496,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.38
1559044166.3762965,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,7.58
1559044176.4741976,lower-level,ethernet,192.168.0.1,0.21,142.254.217.53,8.18
1559044186.5749536,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.06
1559044196.6779733,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.85
1559044206.780214,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.33
1559044216.88554,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.42
1559044226.9900148,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.72
1559044237.0815291,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.79
1559044247.1872458,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.54
1559044257.2880158,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.98
1559044267.4008064,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,8.31
1559044277.5037222,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.15
